velocity_data_x,velocity_data_y,velocity_data_z,rc_with_flag_data_roll,rc_with_flag_data_pitch,rc_with_flag_data_yaw,rc_with_flag_data_throttle,position_vo_x,position_vo_y,position_vo_z,altitude_fusioned,altitude_barometer,height_homepoint,height_fusion,gps_fused_latitude,gps_fused_longitude,gps_fused_altitude,gps_longitude,gps_latitude,gps_altitude,velocity_x,velocity_y,velocity_z,status_displaymode,status_flight,rtk_connect_status_rtkConnected
-0.008931,0.030401,0.045689,0.000000,0.000000,0.000000,0.000000,-0.121690,0.066543,-49.386623,49.391083,49.789230,49.366905,0.113448,0.000000,0.000000,49.591057,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.010356,0.032511,0.043922,0.000000,0.000000,0.000000,0.000000,-0.121876,0.067135,-49.391281,49.392918,50.336193,49.366905,0.112348,0.000000,0.000000,50.264851,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.013541,0.033264,0.041669,0.000000,0.000000,0.000000,0.000000,-0.122071,0.067765,-49.395630,49.400185,50.222572,49.366905,0.112882,0.000000,0.000000,50.161800,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.016719,0.032163,0.041121,0.000000,0.000000,0.000000,0.000000,-0.122315,0.068428,-49.399406,49.396873,50.000618,49.366905,0.113398,0.000000,0.000000,50.410175,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.017316,0.028373,0.040992,0.000000,0.000000,0.000000,0.000000,-0.122628,0.069078,-49.394722,49.391258,49.725815,49.366905,0.111660,0.000000,0.000000,49.725815,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.018132,0.026370,0.041734,0.000000,0.000000,0.000000,0.000000,-0.122769,0.068536,-49.390522,49.384789,50.169727,49.366905,0.111993,0.000000,0.000000,49.768093,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.017525,0.023506,0.038999,0.000000,0.000000,0.000000,0.000000,-0.123124,0.069068,-49.383709,49.380352,49.990047,49.366905,0.110307,0.000000,0.000000,50.293915,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.018358,0.021195,0.034138,0.000000,0.000000,0.000000,0.000000,-0.123488,0.069550,-49.380424,49.379002,49.850006,49.366905,0.110430,0.000000,0.000000,49.646545,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.019194,0.019544,0.033793,0.000000,0.000000,0.000000,0.000000,-0.123854,0.069985,-49.378284,49.375458,49.921349,49.366905,0.110473,0.000000,0.000000,49.871143,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.017893,0.017039,0.034397,0.000000,0.000000,0.000000,0.000000,-0.124228,0.070389,-49.375542,49.378197,49.643906,49.366905,0.108882,0.000000,0.000000,50.093098,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.017262,0.017344,0.036463,0.000000,0.000000,0.000000,0.000000,-0.124462,0.069524,-49.379017,49.382835,50.346760,49.366905,0.109081,0.000000,0.000000,49.712605,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.017663,0.017425,0.036774,0.000000,0.000000,0.000000,0.000000,-0.124801,0.069863,-49.385311,49.386715,49.842079,49.366905,0.107889,0.000000,0.000000,50.045536,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.016828,0.015943,0.034732,0.000000,0.000000,0.000000,0.000000,-0.125138,0.070211,-49.387306,49.391819,49.522358,49.366905,0.108252,0.000000,0.000000,49.527641,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.015255,0.014590,0.032057,0.000000,0.000000,0.000000,0.000000,-0.125470,0.070539,-49.392975,49.390724,49.480080,49.366905,0.108620,0.000000,0.000000,49.865860,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.016052,0.010795,0.031253,0.000000,0.000000,0.000000,0.000000,-0.125781,0.070833,-49.387390,49.380310,49.842079,49.366905,0.107948,0.000000,0.000000,49.477436,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.019139,0.009434,0.031006,0.000000,0.000000,0.000000,0.000000,-0.123823,0.062031,-49.366760,49.370182,50.246353,49.366905,0.108065,0.000000,0.000000,50.016472,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
-0.019198,0.010111,0.030169,0.000000,0.000000,0.000000,0.000000,-0.124191,0.062211,-49.371288,49.370808,49.778664,49.366905,0.106879,0.000000,0.000000,50.056107,0,0,-17000,0.000000,0.000000,0.000000,6,0,0
